year,purpose,arrivals,type
2010,Holiday,2510.859,actual
2010,VFR,1747.338,actual
2010,Business,801.052,actual
2010,Education,365.463,actual
2010,Employment,194.576,actual
2010,Other,251.666,actual
2010,Total,5870.954,actual
2011,Holiday,2403.433,actual
2011,VFR,1769.376,actual
2011,Business,836.294,actual
2011,Education,370.463,actual
2011,Employment,216.791,actual
2011,Other,275.332,actual
2011,Total,5871.69,actual
2012,Holiday,2543.502,actual
2012,VFR,1884.722,actual
2012,Business,855.205,actual
2012,Education,370.895,actual
2012,Employment,235.98,actual
2012,Other,276.195,actual
2012,Total,6166.499,actual
2013,Holiday,2725.765,actual
2013,VFR,2041.017,actual
2013,Business,831.994,actual
2013,Education,372.755,actual
2013,Employment,226.102,actual
2013,Other,283.468,actual
2013,Total,6481.102,actual
2014,Holiday,2925.387,actual
2014,VFR,2215.866,actual
2014,Business,851.503,actual
2014,Education,380.015,actual
2014,Employment,254.817,actual
2014,Other,294.155,actual
2014,Total,6921.744,actual
2015,Holiday,3197.984,actual
2015,VFR,2367.606,actual
2015,Business,803.066,actual
2015,Education,459.537,actual
2015,Employment,317.042,actual
2015,Other,303.94,actual
2015,Total,7449.176,actual
2016,Holiday,3914.318,actual
2016,VFR,2415.574,actual
2016,Business,817.752,actual
2016,Education,501.569,actual
2016,Employment,279.171,actual
2016,Other,340.469,actual
2016,Total,8268.854,actual
2017,Holiday,4150.866,actual
2017,VFR,2633.135,actual
2017,Business,926.886,actual
2017,Education,560.049,actual
2017,Employment,256.628,actual
2017,Other,287.687,actual
2017,Total,8815.25,actual
2018,Holiday,4338.688,actual
2018,VFR,2791.445,actual
2018,Business,996.044,actual
2018,Education,600.663,actual
2018,Employment,208.814,actual
2018,Other,309.978,actual
2018,Total,9245.633,actual
2019,Holiday,4475.712,actual
2019,VFR,2845.921,actual
2019,Business,1005.441,actual
2019,Education,620.42,actual
2019,Employment,215.672,actual
2019,Other,302.728,actual
2019,Total,9465.894,actual
2020,Holiday,789.336,actual
2020,VFR,552.534,actual
2020,Business,158.411,actual
2020,Education,180.269,actual
2020,Employment,67.216,actual
2020,Other,79.952,actual
2020,Total,1827.717,actual
2021,Holiday,21.374,actual
2021,VFR,148.011,actual
2021,Business,22.823,actual
2021,Education,8.41,actual
2021,Employment,22.759,actual
2021,Other,22.863,actual
2021,Total,246.241,actual
2022,Holiday,1056.357,actual
2022,VFR,1767.685,actual
2022,Business,387.236,actual
2022,Education,199.885,actual
2022,Employment,149.974,actual
2022,Other,133.245,actual
2022,Total,3694.382,actual
2023,Holiday,2885.03,actual
2023,VFR,2628.034,actual
2023,Business,687.972,actual
2023,Education,415.246,actual
2023,Employment,287.618,actual
2023,Other,283.53,actual
2023,Total,7187.429,actual
2024,Holiday,3607.907,actual
2024,VFR,2809.882,actual
2024,Business,723.568,actual
2024,Education,492.241,actual
2024,Employment,327.687,actual
2024,Other,309.642,actual
2024,Total,8270.927,actual
2025,Holiday,3936.079,forecast
2025,VFR,2922.123,forecast
2025,Business,742.298,forecast
2025,Education,546.361,forecast
2025,Employment,352.711,forecast
2025,Other,304.943,forecast
2025,Total,8804.515,forecast
2026,Holiday,4168.943,forecast
2026,VFR,3052.468,forecast
2026,Business,764.972,forecast
2026,Education,597.289,forecast
2026,Employment,377.836,forecast
2026,Other,304.009,forecast
2026,Total,9265.517,forecast
2027,Holiday,4424.924,forecast
2027,VFR,3183.471,forecast
2027,Business,784.612,forecast
2027,Education,640.42,forecast
2027,Employment,400.907,forecast
2027,Other,313.728,forecast
2027,Total,9748.061,forecast
2028,Holiday,4632.338,forecast
2028,VFR,3305.309,forecast
2028,Business,805.245,forecast
2028,Education,674.905,forecast
2028,Employment,417.547,forecast
2028,Other,321.842,forecast
2028,Total,10157.186,forecast
2029,Holiday,4816.706,forecast
2029,VFR,3417.278,forecast
2029,Business,822.975,forecast
2029,Education,704.301,forecast
2029,Employment,434.615,forecast
2029,Other,326.647,forecast
2029,Total,10522.523,forecast
2030,Holiday,4996.658,forecast
2030,VFR,3528.381,forecast
2030,Business,841.759,forecast
2030,Education,732.61,forecast
2030,Employment,451.622,forecast
2030,Other,331.597,forecast
2030,Total,10882.627,forecast
