country,region,trips_2024,trips_2025,trips_change_000,trips_change_pct,nights_2024,nights_2025,nights_change_000,nights_change_pct,spend_2024,spend_2025,spend_change_m,spend_change_pct,total_spend_2024,total_spend_2025,total_spend_change_m,total_spend_change_pct
New Zealand,Oceania,1260,1303,43,3,14804,15402,597,4,2064,2410,346,17,3299,3667,368,11
Japan,Asia,362,385,23,6,12931,14562,1631,13,1435,1617,182,13,2098,2327,229,11
Hong Kong,Asia,199,228,29,15,5249,6736,1487,28,873,1128,254,29,1226,1515,289,24
Singapore,Asia,361,386,25,7,5446,5949,504,9,1088,1122,34,3,1582,1648,66,4
Malaysia,Asia,184,194,10,5,5292,5274,-18,0,685,705,20,3,898,933,35,4
Indonesia,Asia,202,218,16,8,10340,9531,-808,-8,998,976,-22,-2,1240,1215,-24,-2
Taiwan,Asia,149,175,26,17,9850,9515,-336,-3,903,978,75,8,1200,1291,91,8
Thailand,Asia,90,91,2,2,5149,6064,915,18,457,460,3,1,583,580,-3,0
Vietnam,Asia,160,154,-7,-4,6525,7961,1436,22,833,906,73,9,1075,1130,55,5
Philippines,Asia,164,179,15,9,10857,10901,45,0,601,608,6,1,814,804,-11,-1
Korea,Asia,342,363,20,6,11038,9377,-1660,-15,1571,1445,-127,-8,2198,2080,-118,-5
China,Asia,829,974,145,18,45058,53414,8356,19,8065,11246,3181,39,9774,13158,3384,35
India,Asia,421,429,8,2,28827,28355,-472,-2,1660,1835,175,11,2597,2545,-52,-2
Other Asia,Asia,204,217,14,7,14532,15965,1434,10,1198,1282,85,7,1601,1635,34,2
United States of America,Americas,669,697,28,4,12063,12104,41,0,1993,2396,404,20,4348,4617,269,6
Canada,Americas,154,161,6,4,4506,5101,595,13,555,665,110,20,997,1136,138,14
United Kingdom,Europe,605,721,116,19,21858,28128,6270,29,2195,2870,675,31,4231,5264,1033,24
Germany,Europe,159,169,10,6,6214,5741,-473,-8,612,685,73,12,1105,1201,97,9
Scandinavia,Europe,82,86,4,5,3346,3066,-280,-8,312,375,63,20,536,638,102,19
France,Europe,122,139,17,14,9324,11342,2018,22,680,925,244,36,1017,1327,310,30
Italy,Europe,63,74,11,17,4994,5007,13,0,348,401,53,15,518,616,98,19
Netherlands,Europe,48,52,4,8,1711,1703,-8,0,194,215,21,11,348,376,28,8
Switzerland,Europe,41,44,3,7,1366,1552,186,14,199,262,62,31,326,405,78,24
Other Europe,Europe,257,292,35,14,13898,13051,-847,-6,1159,1410,250,22,1966,2235,268,14
Other Countries,Other,508,541,34,7,29818,26875,-2944,-10,2230,2270,39,2,3296,3331,36,1
Total,Total,7634,8272,638,8,294995,312677,17681,6,32911,39191,6281,19,48873,55673,6801,14
