year,trip_type,reason,state,trips
2021,Interstate,Business,ACT,344.298
2021,Interstate,Business,NSW,1271.829
2021,Interstate,Business,NT,183.093
2021,Interstate,Business,QLD,664.858
2021,Interstate,Business,SA,314.629
2021,Interstate,Business,VIC,620.03
2021,Interstate,Business,WA,236.184
2021,Interstate,Holiday,ACT,459.163
2021,Interstate,Holiday,NSW,2264.309
2021,Interstate,Holiday,NT,360.683
2021,Interstate,Holiday,QLD,1682.818
2021,Interstate,Holiday,SA,563.376
2021,Interstate,Holiday,VIC,711.898
2021,Interstate,Holiday,WA,183.684
2021,Interstate,Other,ACT,149.642
2021,Interstate,Other,NSW,606.469
2021,Interstate,Other,QLD,263.706
2021,Interstate,Other,SA,141.168
2021,Interstate,Other,VIC,186.977
2021,Interstate,Visiting Friends & Relatives,ACT,770.624
2021,Interstate,Visiting Friends & Relatives,NSW,2152.415
2021,Interstate,Visiting Friends & Relatives,NT,95.486
2021,Interstate,Visiting Friends & Relatives,QLD,1205.217
2021,Interstate,Visiting Friends & Relatives,SA,497.426
2021,Interstate,Visiting Friends & Relatives,VIC,1128.613
2021,Interstate,Visiting Friends & Relatives,WA,212.497
2021,Intrastate,Business,NSW,2810.26
2021,Intrastate,Business,NT,224.985
2021,Intrastate,Business,QLD,3211.615
2021,Intrastate,Business,SA,765.073
2021,Intrastate,Business,TAS,277.261
2021,Intrastate,Business,VIC,1564.758
2021,Intrastate,Business,WA,2258.138
2021,Intrastate,Holiday,NSW,8060.383
2021,Intrastate,Holiday,NT,307.831
2021,Intrastate,Holiday,QLD,7263.258
2021,Intrastate,Holiday,SA,2424.563
2021,Intrastate,Holiday,TAS,925.947
2021,Intrastate,Holiday,VIC,7796.531
2021,Intrastate,Holiday,WA,4248.866
2021,Intrastate,Other,NSW,1260.742
2021,Intrastate,Other,QLD,1262.393
2021,Intrastate,Other,SA,335.166
2021,Intrastate,Other,TAS,128.66
2021,Intrastate,Other,VIC,957.922
2021,Intrastate,Other,WA,611.545
2021,Intrastate,Visiting Friends & Relatives,NSW,6534.906
2021,Intrastate,Visiting Friends & Relatives,QLD,5430.498
2021,Intrastate,Visiting Friends & Relatives,SA,1169.993
2021,Intrastate,Visiting Friends & Relatives,TAS,409.136
2021,Intrastate,Visiting Friends & Relatives,VIC,5248.667
2021,Intrastate,Visiting Friends & Relatives,WA,2262.628
2021,Total,Business,ACT,344.298
2021,Total,Business,NSW,4082.089
2021,Total,Business,NT,408.078
2021,Total,Business,QLD,3876.473
2021,Total,Business,SA,1079.703
2021,Total,Business,VIC,2184.788
2021,Total,Business,WA,2494.322
2021,Total,Holiday,ACT,462.667
2021,Total,Holiday,NSW,10324.691
2021,Total,Holiday,NT,668.513
2021,Total,Holiday,QLD,8946.076
2021,Total,Holiday,SA,2987.939
2021,Total,Holiday,VIC,8508.429
2021,Total,Holiday,WA,4432.55
2021,Total,Other,ACT,149.642
2021,Total,Other,NSW,1867.211
2021,Total,Other,QLD,1526.099
2021,Total,Other,SA,476.334
2021,Total,Other,VIC,1144.899
2021,Total,Other,WA,650.323
2021,Total,Visiting Friends & Relatives,ACT,779.091
2021,Total,Visiting Friends & Relatives,NSW,8687.321
2021,Total,Visiting Friends & Relatives,NT,171.419
2021,Total,Visiting Friends & Relatives,QLD,6635.715
2021,Total,Visiting Friends & Relatives,SA,1667.419
2021,Total,Visiting Friends & Relatives,VIC,6377.279
2021,Total,Visiting Friends & Relatives,WA,2475.126
2022,Interstate,Business,ACT,789.699
2022,Interstate,Business,NSW,2879.369
2022,Interstate,Business,NT,282.188
2022,Interstate,Business,QLD,1663.609
2022,Interstate,Business,SA,732.264
2022,Interstate,Business,VIC,1971.07
2022,Interstate,Business,WA,544.036
2022,Interstate,Holiday,ACT,857.253
2022,Interstate,Holiday,NSW,4019.903
2022,Interstate,Holiday,NT,519.327
2022,Interstate,Holiday,QLD,3860.829
2022,Interstate,Holiday,SA,1021.467
2022,Interstate,Holiday,VIC,2509.944
2022,Interstate,Holiday,WA,429.928
2022,Interstate,Other,ACT,215.969
2022,Interstate,Other,NSW,686.813
2022,Interstate,Other,QLD,395.922
