year,type,daytrips,overnight_total,nights,spend_overnight_real,spend_overnight_nominal,spend_day_real,spend_day_nominal,spend_total_real,spend_total_nominal
2019,actual,217295.8,109622.6,354867.1,86.53,70.104,28.482,23.075,115.013,93.179
2020,actual,186444.8,84428.9,284601.9,59.019,47.648,24.233,19.564,83.251,67.212
2021,actual,208855.1,92030.5,320455.4,74.782,62.696,28.41,23.819,103.192,86.515
2022,actual,235310.3,110481.5,392302.0,114.048,101.492,38.068,33.877,152.116,135.369
2023,actual,244110.2,113111.4,383789.2,113.282,106.886,39.514,37.283,152.796,144.169
2024,actual,254334.7,112774.3,382598.4,111.105,108.831,39.662,38.85,150.767,147.681
2025,forecast,280195.1,113161.5,382104.1,107.834,107.834,46.024,46.024,153.857,153.857
2026,forecast,290999.6,114696.0,384840.3,106.852,110.806,46.98,48.719,153.832,159.524
2027,forecast,298337.9,116556.1,390157.8,107.821,114.83,47.814,50.922,155.635,165.751
2028,forecast,303923.8,118971.5,399530.7,110.086,120.172,48.501,52.944,158.586,173.116
2029,forecast,308790.3,121114.5,408085.6,112.063,125.389,49.116,54.957,161.179,180.346
2030,forecast,313087.6,123042.2,415642.0,113.738,130.444,49.687,56.986,163.425,187.43
