year,state,holiday,vfr,business,other,total
2025,NSW,16418.8,15447.2,4558.4,2915.2,39229.6
2026,NSW,16629.3,15672.3,4607.9,2953.8,39751.5
2027,NSW,16894.4,15944.7,4667.3,3002.5,40395.5
2028,NSW,17264.0,16251.5,4745.1,3064.2,41208.0
2029,NSW,17593.1,16513.7,4816.1,3117.4,41924.8
2030,NSW,17886.3,16751.8,4881.1,3166.0,42566.1
2025,VIC,14056.2,12696.4,3092.9,1775.2,31403.2
2026,VIC,14175.4,12829.4,3116.0,1792.0,31695.7
2027,VIC,14385.9,13039.6,3151.5,1821.1,32177.0
2028,VIC,14729.0,13312.1,3210.5,1862.8,32887.4
2029,VIC,15046.5,13550.1,3263.6,1898.7,33526.4
2030,VIC,15328.3,13770.8,3311.0,1931.6,34105.2
2025,QLD,10993.8,9583.2,3581.2,2060.5,25996.1
2026,QLD,11196.7,9787.0,3639.8,2101.9,26498.0
2027,QLD,11388.9,9969.2,3687.8,2138.5,26953.6
2028,QLD,11648.1,10176.4,3753.3,2180.8,27521.5
2029,QLD,11879.7,10357.1,3812.4,2220.1,28028.4
2030,QLD,12090.1,10519.2,3866.2,2255.4,28485.6
2025,SA,3634.8,2645.4,967.1,595.5,7824.7
2026,SA,3662.7,2670.9,972.9,600.8,7889.4
2027,SA,3717.2,2711.3,983.6,610.0,8003.5
2028,SA,3790.0,2756.3,998.8,621.3,8147.5
2029,SA,3854.5,2795.3,1012.2,630.7,8273.8
2030,SA,3911.3,2828.8,1024.2,638.8,8383.9
2025,WA,4654.2,3405.6,1050.0,891.4,9968.0
2026,WA,4721.4,3464.9,1062.9,904.0,10120.2
2027,WA,4817.8,3531.1,1079.8,920.1,10314.5
2028,WA,4925.9,3603.3,1099.8,938.7,10533.2
2029,WA,5022.5,3666.7,1117.7,954.9,10726.3
2030,WA,5110.6,3723.8,1133.2,969.2,10901.2
2025,TAS,1587.2,933.9,382.6,111.8,2991.3
2026,TAS,1603.5,944.8,385.5,112.9,3022.2
2027,TAS,1624.9,958.5,389.3,114.4,3062.4
2028,TAS,1653.7,974.7,395.0,116.3,3114.4
2029,TAS,1679.1,988.2,399.9,117.9,3159.4
2030,TAS,1701.2,1000.1,404.0,119.3,3198.6
2025,NT,405.8,189.0,303.7,105.0,1001.8
2026,NT,411.3,191.9,307.3,106.5,1015.2
2027,NT,418.2,195.3,311.2,108.2,1031.2
2028,NT,427.6,199.2,316.7,110.5,1052.1
2029,NT,435.7,202.5,321.6,112.5,1070.5
2030,NT,443.1,205.6,326.0,114.3,1087.1
2025,ACT,616.2,913.5,508.4,204.3,2238.4
2026,ACT,623.1,925.4,512.8,206.6,2263.9
2027,ACT,632.9,941.2,519.8,210.0,2299.7
2028,ACT,646.9,960.4,529.1,214.5,2346.7
2029,ACT,658.9,977.2,536.9,218.2,2386.9
2030,ACT,670.0,992.9,543.8,221.6,2423.9
